,ID,toplam,Tarih,Donem,genel_renkli,genel_sb,dijital_islemler
224,dcolor,4,2025-03-01,2025-03,0,4,0
225,hbinay,30,2025-03-01,2025-03,30,0,0
226,herbilgin,1,2025-03-01,2025-03,1,0,0
227,zyuksel,8,2025-03-01,2025-03,0,0,8
228,aayhan,13,2025-03-01,2025-03,5,7,1
229,udalyan,1,2025-03-01,2025-03,1,0,0
230,dcolor,1,2025-03-02,2025-03,1,0,0
231,mbayirli,11,2025-03-02,2025-03,10,1,0
232,egonce,37,2025-03-02,2025-03,23,14,0
233,mkarsiv,1,2025-03-02,2025-03,1,0,0
234,fcolak,14,2025-03-02,2025-03,14,0,0
235,bbugdayci,10,2025-03-02,2025-03,3,7,0
236,ebadem,6,2025-03-02,2025-03,6,0,0
237,ierdil,19,2025-03-02,2025-03,10,9,0
238,fgulsever,88,2025-03-02,2025-03,87,1,0
239,carican,7,2025-03-02,2025-03,1,6,0
240,aapak,13,2025-03-02,2025-03,12,1,0
241,ubasdas,5,2025-03-02,2025-03,5,0,0
242,gekim,160,2025-03-02,2025-03,0,160,0
243,dnoic,48,2025-03-02,2025-03,47,1,0
244,mkorucu,1,2025-03-02,2025-03,1,0,0
245,bsamuk,3,2025-03-02,2025-03,3,0,0
246,dustasi,10,2025-03-02,2025-03,10,0,0
247,abarkod,6,2025-03-02,2025-03,6,0,0
248,BSOGUT,2,2025-03-02,2025-03,2,0,0
249,aildeniz,5,2025-03-03,2025-03,4,1,0
250,ierdil,5,2025-03-03,2025-03,0,5,0
251,mguder,11,2025-03-03,2025-03,11,0,0
252,itopcu,1,2025-03-03,2025-03,1,0,0
253,fgulsever,14,2025-03-03,2025-03,7,7,0
254,udalyan,2,2025-03-03,2025-03,0,1,1
255,hakand,6,2025-03-03,2025-03,3,1,2
256,mecigdem,3,2025-03-03,2025-03,0,3,0
257,bbugdayci,38,2025-03-03,2025-03,19,1,18
258,aapak,79,2025-03-03,2025-03,0,79,0
259,dayakta,16,2025-03-03,2025-03,11,5,0
260,ubasdas,1,2025-03-03,2025-03,1,0,0
261,BSOGUT,4,2025-03-03,2025-03,0,4,0
262,stjegitim,7,2025-03-03,2025-03,5,1,1
263,hakdemir,9,2025-03-03,2025-03,7,2,0
264,egonce,17,2025-03-03,2025-03,17,0,0
265,herbilgin,17,2025-03-03,2025-03,17,0,0
266,mbayirli,13,2025-03-03,2025-03,13,0,0
267,hbinay,8,2025-03-03,2025-03,7,1,0
268,sapra,2,2025-03-03,2025-03,2,0,0
269,eozkan,7,2025-03-03,2025-03,7,0,0
270,dcolor,22,2025-03-03,2025-03,0,22,0
271,ekoksal,8,2025-03-03,2025-03,5,3,0
272,ersener,6,2025-03-03,2025-03,6,0,0
273,hbulut,20,2025-03-03,2025-03,19,1,0
274,bfirat,30,2025-03-03,2025-03,23,7,0
275,VBAYANER,24,2025-03-03,2025-03,0,24,0
276,gakca,7,2025-03-03,2025-03,4,3,0
277,fcolak,44,2025-03-03,2025-03,0,44,0
278,adogan,14,2025-03-03,2025-03,14,0,0
279,ihasdemir,7,2025-03-03,2025-03,7,0,0
280,bsakrak,25,2025-03-03,2025-03,25,0,0
281,akamera,49,2025-03-03,2025-03,44,5,0
282,abarkod,1,2025-03-03,2025-03,1,0,0
283,vgemici,1,2025-03-03,2025-03,1,0,0
284,tcapkin,1,2025-03-03,2025-03,0,1,0
285,ntanriverdi,30,2025-03-03,2025-03,0,30,0
286,asablon,1,2025-03-03,2025-03,1,0,0
287,cer,20,2025-03-03,2025-03,20,0,0
288,aayhan,4,2025-03-03,2025-03,0,0,3
289,mkarabiyik,18,2025-03-03,2025-03,0,18,0
290,obali,4,2025-03-03,2025-03,1,3,0
291,fimetin,1,2025-03-03,2025-03,0,1,0
292,gkenarli,9,2025-03-03,2025-03,6,3,0
293,ggirgin,78,2025-03-03,2025-03,61,17,0
294,ekaradavut,1,2025-03-03,2025-03,1,0,0
295,ngogce,96,2025-03-03,2025-03,52,40,4
296,saskin,21,2025-03-03,2025-03,21,0,0
297,gekim,139,2025-03-03,2025-03,0,139,0
298,gbakanoglu,20,2025-03-03,2025-03,10,10,0
299,aozbal,1,2025-03-03,2025-03,1,0,0
300,amasun,11,2025-03-03,2025-03,11,0,0
301,mertan,1,2025-03-03,2025-03,1,0,0
302,dnoic,7,2025-03-03,2025-03,7,0,0
303,ebalaban,22,2025-03-03,2025-03,22,0,0
304,ogungor,2,2025-03-03,2025-03,0,2,0
305,gayilmaz,10,2025-03-03,2025-03,10,0,0
306,stjncakirci,5,2025-03-03,2025-03,3,2,0
307,eulsever,10,2025-03-03,2025-03,0,10,0
308,tevirgen,21,2025-03-03,2025-03,20,1,0
309,ayyilmaz,3,2025-03-03,2025-03,3,0,0
310,oicoz,18,2025-03-03,2025-03,18,0,0
311,ierdil,7,2025-03-04,2025-03,7,0,0
312, modified by system 2025-04-29 10:29:20 4,41,2025-03-04,2025-03,38,3,0
313,zyuksel,2,2025-03-04,2025-03,0,0,2
314,gsapmaz,4,2025-03-04,2025-03,4,0,0
315,baozturk,2,2025-03-04,2025-03,2,0,0
316,udalyan,101,2025-03-04,2025-03,51,0,50
317,fgulsever,31,2025-03-04,2025-03,0,31,0
318,esaribuyuk,4,2025-03-04,2025-03,0,4,0
319,hakand,87,2025-03-04,2025-03,65,22,0
320,mecigdem,2,2025-03-04,2025-03,0,2,0
321,kbtlideri,1,2025-03-04,2025-03,1,0,0
322,itopcu,7,2025-03-04,2025-03,7,0,0
323,ebadem,3,2025-03-04,2025-03,2,1,0
324,eozkan,3,2025-03-04,2025-03,3,0,0
325,mkarsiv,1,2025-03-04,2025-03,1,0,0
326,egonce,19,2025-03-04,2025-03,13,6,0
327,mbayirli,11,2025-03-04,2025-03,0,11,0
328,hbinay,9,2025-03-04,2025-03,9,0,0
329,tcakan,1,2025-03-04,2025-03,1,0,0
330,hkaragoz,3,2025-03-04,2025-03,3,0,0
331,dcolor,27,2025-03-04,2025-03,0,27,0
332,ekoksal,2,2025-03-04,2025-03,0,2,0
333,ersener,8,2025-03-04,2025-03,2,6,0
334,hbulut,15,2025-03-04,2025-03,15,0,0
335,bfirat,2,2025-03-04,2025-03,2,0,0
336,bunver,3,2025-03-04,2025-03,3,0,0
337,aapak,39,2025-03-04,2025-03,0,39,0
338,stjegitim,3,2025-03-04,2025-03,2,0,1
339,dayakta,7,2025-03-04,2025-03,7,0,0
340,herbilgin,10,2025-03-04,2025-03,10,0,0
341,ESERT,16,2025-03-04,2025-03,16,0,0
342,gakca,7,2025-03-04,2025-03,4,3,0
343,akamera,158,2025-03-04,2025-03,156,2,0
344,ngogce,3,2025-03-04,2025-03,3,0,0
345,abarkod,1,2025-03-04,2025-03,1,0,0
346,ntanriverdi,19,2025-03-04,2025-03,0,19,0
347,gmasistan,7,2025-03-04,2025-03,6,0,1
348,fbasak,4,2025-03-04,2025-03,4,0,0
349,mkofis,2,2025-03-04,2025-03,2,0,0
350,obali,2,2025-03-04,2025-03,0,2,0
351,MMUTLU,9,2025-03-04,2025-03,4,5,0
352,fimetin,5,2025-03-04,2025-03,5,0,0
353,ggirgin,61,2025-03-04,2025-03,54,7,0
354,ekaradavut,2,2025-03-04,2025-03,2,0,0
355,tevirgen,20,2025-03-04,2025-03,0,5,15
356,vgemici,3,2025-03-04,2025-03,2,1,0
357,oasistan,63,2025-03-04,2025-03,41,22,0
358,eulsever,16,2025-03-04,2025-03,0,16,0
359,iunlu,1,2025-03-04,2025-03,1,0,0
360,gekim,99,2025-03-04,2025-03,0,99,0
361,bsakrak,2,2025-03-04,2025-03,2,0,0
362,eanli,3,2025-03-04,2025-03,0,3,0
363,amasun,77,2025-03-04,2025-03,77,0,0
364,SUYILMAZ,1,2025-03-04,2025-03,1,0,0
365,dnoic,5,2025-03-04,2025-03,5,0,0
366,gcevik,1,2025-03-04,2025-03,1,0,0
367,okanat,2,2025-03-04,2025-03,2,0,0
368,ogungor,3,2025-03-04,2025-03,1,2,0
369,gayilmaz,7,2025-03-04,2025-03,7,0,0
370,ebalaban,24,2025-03-04,2025-03,24,0,0
371, modified by system 2025-04-29 10:29:20 4,14,2025-03-05,2025-03,13,1,0
372,aapak,1,2025-03-05,2025-03,0,1,0
373,udalyan,11,2025-03-05,2025-03,4,7,0
374,mecigdem,5,2025-03-05,2025-03,4,1,0
375,BSOGUT,27,2025-03-05,2025-03,27,0,0
376,fgulsever,11,2025-03-05,2025-03,0,11,0
377,itopcu,34,2025-03-05,2025-03,34,0,0
378,mguder,5,2025-03-05,2025-03,5,0,0
379,zyuksel,1,2025-03-05,2025-03,1,0,0
380,rkontrol,19,2025-03-05,2025-03,19,0,0
381,mbayirli,6,2025-03-05,2025-03,0,6,0
382,acelebi,2,2025-03-05,2025-03,2,0,0
383,fcolak,6,2025-03-05,2025-03,6,0,0
384,egonce,10,2025-03-05,2025-03,8,2,0
385,hakdemir,12,2025-03-05,2025-03,9,3,0
386,eozkan,3,2025-03-05,2025-03,3,0,0
387,dcolor,39,2025-03-05,2025-03,0,39,0
388,hbulut,1,2025-03-05,2025-03,1,0,0
389,bfirat,7,2025-03-05,2025-03,7,0,0
390,nakilli,1,2025-03-05,2025-03,1,0,0
391,bunver,1,2025-03-05,2025-03,1,0,0
392,stjegitim,4,2025-03-05,2025-03,4,0,0
393,dayakta,26,2025-03-05,2025-03,15,11,0
394,amasun,36,2025-03-05,2025-03,34,2,0
395,saskin,5,2025-03-05,2025-03,5,0,0
396,gakca,4,2025-03-05,2025-03,3,1,0
397,akamera,94,2025-03-05,2025-03,92,2,0
398,ngogce,32,2025-03-05,2025-03,13,3,16
399,abarkod,24,2025-03-05,2025-03,24,0,0
400,vgemici,2,2025-03-05,2025-03,0,2,0
401,ntanriverdi,5,2025-03-05,2025-03,0,5,0
402,cer,1,2025-03-05,2025-03,0,1,0
403,kesmeray,5,2025-03-05,2025-03,5,0,0
404,fimetin,1,2025-03-05,2025-03,1,0,0
405,gkenarli,8,2025-03-05,2025-03,6,2,0
406,fbasak,20,2025-03-05,2025-03,20,0,0
407,ekaradavut,2,2025-03-05,2025-03,2,0,0
408,ggirgin,10,2025-03-05,2025-03,9,1,0
409,gekim,90,2025-03-05,2025-03,0,90,0
410,ebalaban,25,2025-03-05,2025-03,25,0,0
411,ezyildiz,1,2025-03-05,2025-03,1,0,0
412,dnoic,1,2025-03-05,2025-03,1,0,0
413,iunlu,10,2025-03-05,2025-03,10,0,0
414,ogungor,7,2025-03-05,2025-03,4,3,0
415,oasistan,7,2025-03-05,2025-03,1,6,0
416,tevirgen,1,2025-03-05,2025-03,0,1,0
417,nibolkis,9,2025-03-05,2025-03,9,0,0
418,zyuksel,5,2025-03-06,2025-03,5,0,0
419,ubasdas,2,2025-03-06,2025-03,2,0,0
420,dayakta,1,2025-03-06,2025-03,1,0,0
421,aapak,44,2025-03-06,2025-03,0,44,0
422,bfirat,36,2025-03-06,2025-03,35,1,0
423,udalyan,6,2025-03-06,2025-03,6,0,0
424,hakand,6,2025-03-06,2025-03,1,5,0
425,fgulsever,13,2025-03-06,2025-03,3,10,0
426,itopcu,8,2025-03-06,2025-03,8,0,0
427, modified by system 2025-04-29 10:29:20 4,4,2025-03-06,2025-03,4,0,0
428,gakca,6,2025-03-06,2025-03,6,0,0
429,ihasdemir,35,2025-03-06,2025-03,35,0,0
430,bbugdayci,12,2025-03-06,2025-03,11,1,0
431,fcolak,6,2025-03-06,2025-03,6,0,0
432,mkarsiv,1,2025-03-06,2025-03,1,0,0
433,egonce,8,2025-03-06,2025-03,8,0,0
434,hakdemir,4,2025-03-06,2025-03,1,3,0
435,dcolor,44,2025-03-06,2025-03,0,44,0
436,hbulut,3,2025-03-06,2025-03,3,0,0
437,akapucu,22,2025-03-06,2025-03,0,0,22
438,aildeniz,6,2025-03-06,2025-03,5,0,1
439,fyakut,1,2025-03-06,2025-03,0,1,0
440,dnoic,79,2025-03-06,2025-03,32,46,1
441,gekim,167,2025-03-06,2025-03,0,167,0
442,bsakrak,1,2025-03-06,2025-03,1,0,0
443,akamera,92,2025-03-06,2025-03,85,7,0
444,ngogce,2,2025-03-06,2025-03,2,0,0
445,abarkod,3,2025-03-06,2025-03,3,0,0
446,tcapkin,2,2025-03-06,2025-03,0,2,0
447,mkofis,5,2025-03-06,2025-03,5,0,0
448,MMUTLU,2,2025-03-06,2025-03,0,2,0
449,fimetin,5,2025-03-06,2025-03,3,2,0
450,ggirgin,25,2025-03-06,2025-03,25,0,0
451,fbasak,12,2025-03-06,2025-03,12,0,0
452,tevirgen,15,2025-03-06,2025-03,10,4,1
453,eulsever,13,2025-03-06,2025-03,8,5,0
454,oasistan,11,2025-03-06,2025-03,0,11,0
455,gayilmaz,6,2025-03-06,2025-03,5,1,0
456,ogungor,21,2025-03-06,2025-03,21,0,0
457,okanat,3,2025-03-06,2025-03,1,2,0
458,ezyildiz,7,2025-03-06,2025-03,6,1,0
459,ebalaban,43,2025-03-06,2025-03,43,0,0
460,amasun,61,2025-03-06,2025-03,59,2,0
461,mertan,10,2025-03-06,2025-03,10,0,0
462,udalyan,3,2025-03-07,2025-03,0,1,2
463,hakand,48,2025-03-07,2025-03,41,7,0
464,baozturk,1,2025-03-07,2025-03,1,0,0
465,mguder,6,2025-03-07,2025-03,6,0,0
466,bfirat,8,2025-03-07,2025-03,8,0,0
467,dcolor,41,2025-03-07,2025-03,0,41,0
468,ekoksal,6,2025-03-07,2025-03,6,0,0
469,hbulut,1,2025-03-07,2025-03,1,0,0
470,gakca,3,2025-03-07,2025-03,0,3,0
471,hakdemir,4,2025-03-07,2025-03,3,1,0
472,adogan,2,2025-03-07,2025-03,2,0,0
473,tevirgen,10,2025-03-07,2025-03,3,7,0
474,okanat,18,2025-03-07,2025-03,18,0,0
475,gayilmaz,15,2025-03-07,2025-03,15,0,0
476,mertan,40,2025-03-07,2025-03,0,40,0
477,ekaradavut,12,2025-03-07,2025-03,11,1,0
478,ggirgin,23,2025-03-07,2025-03,23,0,0
479,fimetin,3,2025-03-07,2025-03,2,1,0
480,obali,1,2025-03-07,2025-03,1,0,0
481,aaksoy,29,2025-03-07,2025-03,29,0,0
482,ngogce,73,2025-03-07,2025-03,48,16,9
483,akamera,6,2025-03-07,2025-03,0,6,0
484,ebalaban,19,2025-03-07,2025-03,19,0,0
485,dcolor,32,2025-03-08,2025-03,0,32,0
486,hakdemir,3,2025-03-08,2025-03,2,1,0
487,ebalaban,17,2025-03-08,2025-03,17,0,0
488,ebtlideri,16,2025-03-08,2025-03,16,0,0
489,rkontrol,1,2025-03-09,2025-03,1,0,0
490,ersener,19,2025-03-09,2025-03,19,0,0
491,mbayirli,20,2025-03-09,2025-03,19,1,0
492,uunver,4,2025-03-09,2025-03,4,0,0
493,egonce,31,2025-03-09,2025-03,31,0,0
494,mkarsiv,3,2025-03-09,2025-03,3,0,0
495,fcolak,4,2025-03-09,2025-03,3,1,0
496,aakyildiz,5,2025-03-09,2025-03,5,0,0
497,cyildiz,4,2025-03-09,2025-03,2,2,0
498,bbugdayci,16,2025-03-09,2025-03,0,2,14
499,ihasdemir,34,2025-03-09,2025-03,34,0,0
500,aildeniz,1,2025-03-09,2025-03,1,0,0
501,abarkod,20,2025-03-09,2025-03,20,0,0
502,fgulsever,31,2025-03-09,2025-03,0,31,0
503,okelepe,1,2025-03-09,2025-03,0,0,1
504,aapak,16,2025-03-09,2025-03,15,1,0
505,dayakta,4,2025-03-09,2025-03,4,0,0
506,ubasdas,1,2025-03-09,2025-03,0,1,0
507,gekim,120,2025-03-09,2025-03,0,120,0
508,SUYILMAZ,1,2025-03-09,2025-03,1,0,0
509,dnoic,6,2025-03-09,2025-03,3,1,2
510,TIRMAK,1,2025-03-09,2025-03,0,0,1
511,mkofis,1,2025-03-09,2025-03,1,0,0
512,fbasak,2,2025-03-09,2025-03,1,1,0
513,ebadem,4,2025-03-09,2025-03,4,0,0
514,BSOGUT,12,2025-03-10,2025-03,2,0,10
515,hakand,4,2025-03-10,2025-03,0,4,0
516,mecigdem,6,2025-03-10,2025-03,4,2,0
517,udalyan,44,2025-03-10,2025-03,42,0,2
518,adogan,55,2025-03-10,2025-03,15,40,0
519,dayakta,29,2025-03-10,2025-03,26,3,0
520,ubasdas,1,2025-03-10,2025-03,1,0,0
521,gakca,1,2025-03-10,2025-03,0,1,0
522,cdonmez,1,2025-03-10,2025-03,1,0,0
523,aapak,29,2025-03-10,2025-03,0,29,0
524,fgulsever,26,2025-03-10,2025-03,0,26,0
525,fcolak,1,2025-03-10,2025-03,0,1,0
526,mguder,11,2025-03-10,2025-03,11,0,0
527,zyuksel,41,2025-03-10,2025-03,40,0,1
528,ierdil,2,2025-03-10,2025-03,2,0,0
529,stjegitim,3,2025-03-10,2025-03,2,1,0
530,mkarsiv,2,2025-03-10,2025-03,2,0,0
531,egonce,27,2025-03-10,2025-03,27,0,0
532,mbayirli,2,2025-03-10,2025-03,2,0,0
533,dcolor,19,2025-03-10,2025-03,0,19,0
534,bfirat,16,2025-03-10,2025-03,16,0,0
535,gekim,24,2025-03-10,2025-03,0,24,0
536,gsapmaz,1,2025-03-10,2025-03,1,0,0
537,amasun,26,2025-03-10,2025-03,16,10,0
538,akamera,5,2025-03-10,2025-03,0,5,0
539,ezyildiz,22,2025-03-10,2025-03,22,0,0
540,ebalaban,22,2025-03-10,2025-03,22,0,0
541,ngogce,42,2025-03-10,2025-03,22,20,0
542,abarkod,1,2025-03-10,2025-03,1,0,0
543,tcapkin,1,2025-03-10,2025-03,0,1,0
544,nkorkmaz,3,2025-03-10,2025-03,3,0,0
545,fbasak,6,2025-03-10,2025-03,6,0,0
546,aaksoy,2,2025-03-10,2025-03,2,0,0
547,aayhan,67,2025-03-10,2025-03,22,43,2
548,MMUTLU,10,2025-03-10,2025-03,5,5,0
549,fimetin,25,2025-03-10,2025-03,15,10,0
550,sucakir,3,2025-03-10,2025-03,3,0,0
551,cer,1,2025-03-10,2025-03,0,1,0
552,ggirgin,288,2025-03-10,2025-03,249,39,0
553,gkenarli,2,2025-03-10,2025-03,2,0,0
554,mkorucu,1,2025-03-10,2025-03,1,0,0
555,oicoz,1,2025-03-10,2025-03,0,1,0
556,gayilmaz,24,2025-03-10,2025-03,8,16,0
557,eulsever,8,2025-03-10,2025-03,0,8,0
558,gcevik,3,2025-03-10,2025-03,3,0,0
559,ayyilmaz,1,2025-03-10,2025-03,1,0,0
560,mertan,8,2025-03-10,2025-03,8,0,0
561,ekaradavut,8,2025-03-10,2025-03,7,1,0
562,tevirgen,40,2025-03-10,2025-03,13,2,25
563,mguder,2,2025-03-11,2025-03,2,0,0
564,adogan,52,2025-03-11,2025-03,19,7,26
565,oguler,9,2025-03-11,2025-03,9,0,0
566,ubasdas,1,2025-03-11,2025-03,1,0,0
567,aapak,20,2025-03-11,2025-03,0,20,0
568,udalyan,1,2025-03-11,2025-03,0,1,0
569,mecigdem,2,2025-03-11,2025-03,0,2,0
570,hakand,8,2025-03-11,2025-03,0,8,0
571,BSOGUT,1,2025-03-11,2025-03,0,0,1
572,fgulsever,22,2025-03-11,2025-03,0,22,0
573,gsapmaz,1,2025-03-11,2025-03,1,0,0
574,zyuksel,1,2025-03-11,2025-03,1,0,0
575,bfirat,55,2025-03-11,2025-03,53,2,0
576,ytinmaz,1,2025-03-11,2025-03,1,0,0
577,ihasdemir,186,2025-03-11,2025-03,183,3,0
578,stjegitim,6,2025-03-11,2025-03,4,2,0
579,fcolak,5,2025-03-11,2025-03,4,1,0
580,egonce,44,2025-03-11,2025-03,42,2,0
581,hakdemir,3,2025-03-11,2025-03,1,2,0
582,mbayirli,2,2025-03-11,2025-03,1,1,0
583,msevim,1,2025-03-11,2025-03,1,0,0
584,dcolor,31,2025-03-11,2025-03,0,31,0
585,hbulut,4,2025-03-11,2025-03,4,0,0
586,bsakrak,10,2025-03-11,2025-03,10,0,0
587,rkontrol,3,2025-03-11,2025-03,3,0,0
588,otufan,4,2025-03-11,2025-03,1,1,2
589,ngogce,6,2025-03-11,2025-03,5,1,0
590,SUYILMAZ,2,2025-03-11,2025-03,2,0,0
591,gekim,27,2025-03-11,2025-03,0,27,0
592,edemirbas,3,2025-03-11,2025-03,0,2,1
593,gmasistan,2,2025-03-11,2025-03,1,0,1
594,asablon,5,2025-03-11,2025-03,5,0,0
595,nkorkmaz,4,2025-03-11,2025-03,2,2,0
596,fbasak,5,2025-03-11,2025-03,5,0,0
597,cer,1,2025-03-11,2025-03,0,1,0
598,aayhan,5,2025-03-11,2025-03,1,2,2
599,mkarabiyik,4,2025-03-11,2025-03,0,4,0
600,obali,13,2025-03-11,2025-03,11,2,0
601,MMUTLU,21,2025-03-11,2025-03,21,0,0
602,fimetin,28,2025-03-11,2025-03,23,5,0
603,bkibar,3,2025-03-11,2025-03,0,3,0
604,ggirgin,34,2025-03-11,2025-03,26,6,2
605,sucakir,2,2025-03-11,2025-03,2,0,0
606,eanli,5,2025-03-11,2025-03,0,5,0
607,ebalaban,18,2025-03-11,2025-03,18,0,0
608,ezyildiz,15,2025-03-11,2025-03,15,0,0
609,dnoic,87,2025-03-11,2025-03,86,0,1
610,amasun,34,2025-03-11,2025-03,30,4,0
611,oicoz,1,2025-03-11,2025-03,0,1,0
612,tevirgen,20,2025-03-11,2025-03,12,8,0
613,ayyilmaz,2,2025-03-11,2025-03,0,2,0
614,mertan,1,2025-03-11,2025-03,1,0,0
615,mkorucu,2,2025-03-11,2025-03,1,1,0
616,udalyan,82,2025-03-12,2025-03,0,1,81
617,zyuksel,5,2025-03-12,2025-03,5,0,0
618,hakand,8,2025-03-12,2025-03,1,3,4
619,BSOGUT,1,2025-03-12,2025-03,0,0,1
620,cdonmez,25,2025-03-12,2025-03,0,25,0
621,fgulsever,29,2025-03-12,2025-03,0,29,0
622,itopcu,1,2025-03-12,2025-03,1,0,0
623,mguder,8,2025-03-12,2025-03,8,0,0
624,rkontrol,3,2025-03-12,2025-03,3,0,0
625,hakdemir,5,2025-03-12,2025-03,5,0,0
626,cyildiz,1,2025-03-12,2025-03,0,1,0
627,fcolak,14,2025-03-12,2025-03,9,5,0
628,mkarsiv,1,2025-03-12,2025-03,1,0,0
629,egonce,38,2025-03-12,2025-03,38,0,0
630,gbalvan,10,2025-03-12,2025-03,4,6,0
631,akocak,1,2025-03-12,2025-03,1,0,0
632,dcolor,33,2025-03-12,2025-03,0,33,0
633,aapak,40,2025-03-12,2025-03,0,40,0
634,ihasdemir,44,2025-03-12,2025-03,43,1,0
635,gekim,77,2025-03-12,2025-03,0,77,0
636,hbulut,3,2025-03-12,2025-03,3,0,0
637,amasun,21,2025-03-12,2025-03,19,2,0
638,eanli,1,2025-03-12,2025-03,0,1,0
639,akamera,4,2025-03-12,2025-03,1,3,0
640,ngogce,13,2025-03-12,2025-03,12,1,0
641,abarkod,3,2025-03-12,2025-03,3,0,0
642,ntanriverdi,47,2025-03-12,2025-03,0,47,0
643,aayhan,10,2025-03-12,2025-03,0,10,0
644,mkarabiyik,10,2025-03-12,2025-03,0,10,0
645,obali,1,2025-03-12,2025-03,1,0,0
646,MMUTLU,59,2025-03-12,2025-03,56,3,0
647,nkorkmaz,9,2025-03-12,2025-03,6,3,0
648,ggirgin,8,2025-03-12,2025-03,6,2,0
649,sulger,1,2025-03-12,2025-03,1,0,0
650,tevirgen,15,2025-03-12,2025-03,6,9,0
651,gayilmaz,29,2025-03-12,2025-03,29,0,0
652,ogungor,1,2025-03-12,2025-03,1,0,0
653,klaboratuar,1,2025-03-12,2025-03,0,1,0
654,dnoic,6,2025-03-12,2025-03,3,2,1
655,ezyildiz,2,2025-03-12,2025-03,2,0,0
656,fimetin,14,2025-03-12,2025-03,14,0,0
657,ebalaban,8,2025-03-12,2025-03,8,0,0
658,kbtlideri,1,2025-03-13,2025-03,1,0,0
659,zyuksel,72,2025-03-13,2025-03,67,5,0
660,mguder,15,2025-03-13,2025-03,1,14,0
661,fgulsever,7,2025-03-13,2025-03,0,7,0
662,aapak,21,2025-03-13,2025-03,0,21,0
663,mecigdem,10,2025-03-13,2025-03,9,1,0
664,udalyan,4,2025-03-13,2025-03,3,1,0
665,ubasdas,6,2025-03-13,2025-03,5,1,0
666,aildeniz,3,2025-03-13,2025-03,3,0,0
667,hakand,32,2025-03-13,2025-03,25,7,0
668,rkontrol,3,2025-03-13,2025-03,3,0,0
669,hbulut,11,2025-03-13,2025-03,5,6,0
670,nkaya,1,2025-03-13,2025-03,0,1,0
671,fcolak,12,2025-03-13,2025-03,10,2,0
672,egonce,253,2025-03-13,2025-03,250,3,0
673,herbilgin,12,2025-03-13,2025-03,10,2,0
674,hakdemir,22,2025-03-13,2025-03,20,2,0
675,mmollaoglu,3,2025-03-13,2025-03,0,3,0
676,sapra,4,2025-03-13,2025-03,4,0,0
677,eozkan,7,2025-03-13,2025-03,7,0,0
678,dcolor,27,2025-03-13,2025-03,0,27,0
679,akapucu,12,2025-03-13,2025-03,0,0,12
680,bfirat,91,2025-03-13,2025-03,91,0,0
681,ihasdemir,7,2025-03-13,2025-03,5,2,0
682,oguler,2,2025-03-13,2025-03,2,0,0
683,gekim,15,2025-03-13,2025-03,0,15,0
684,adogan,3,2025-03-13,2025-03,3,0,0
685,akamera,15,2025-03-13,2025-03,0,15,0
686,ngogce,14,2025-03-13,2025-03,10,2,2
687,abarkod,22,2025-03-13,2025-03,22,0,0
688,gakca,1,2025-03-13,2025-03,0,1,0
689,nkorkmaz,7,2025-03-13,2025-03,6,0,1
690,fbasak,4,2025-03-13,2025-03,4,0,0
691,aaksoy,40,2025-03-13,2025-03,16,24,0
692,aayhan,6,2025-03-13,2025-03,6,0,0
693,mkofis,1,2025-03-13,2025-03,1,0,0
694,obali,11,2025-03-13,2025-03,9,0,2
695,MMUTLU,1,2025-03-13,2025-03,1,0,0
696,tcapkin,2,2025-03-13,2025-03,1,1,0
697,ggirgin,109,2025-03-13,2025-03,109,0,0
698,fimetin,10,2025-03-13,2025-03,10,0,0
699,gbakanoglu,2,2025-03-13,2025-03,1,1,0
700,aozbal,8,2025-03-13,2025-03,3,5,0
701,amasun,43,2025-03-13,2025-03,36,7,0
702,ebalaban,32,2025-03-13,2025-03,32,0,0
703,SUYILMAZ,3,2025-03-13,2025-03,3,0,0
704,mkorucu,1,2025-03-13,2025-03,1,0,0
705,eulsever,18,2025-03-13,2025-03,0,18,0
706,tevirgen,30,2025-03-13,2025-03,6,21,3
707,ayyilmaz,1,2025-03-13,2025-03,1,0,0
708,ezyildiz,24,2025-03-13,2025-03,24,0,0
709,mecigdem,10,2025-03-14,2025-03,9,1,0
710,amasun,1,2025-03-14,2025-03,0,1,0
711,aozbal,2,2025-03-14,2025-03,2,0,0
712,adogan,28,2025-03-14,2025-03,6,22,0
713,gakca,7,2025-03-14,2025-03,6,1,0
714,udalyan,2,2025-03-14,2025-03,2,0,0
715,hakand,8,2025-03-14,2025-03,4,4,0
716,dcolor,45,2025-03-14,2025-03,0,45,0
717,mguder,13,2025-03-14,2025-03,0,13,0
718, modified by system 2025-04-29 10:29:20 4,37,2025-03-14,2025-03,37,0,0
719,hakdemir,2,2025-03-14,2025-03,1,1,0
720,gbalvan,2,2025-03-14,2025-03,2,0,0
721,hbulut,3,2025-03-14,2025-03,3,0,0
722,bfirat,56,2025-03-14,2025-03,56,0,0
723,ebalaban,25,2025-03-14,2025-03,25,0,0
724,baozturk,3,2025-03-14,2025-03,1,2,0
725,ezyildiz,1,2025-03-14,2025-03,1,0,0
726,ntanriverdi,5,2025-03-14,2025-03,0,5,0
727,okanat,4,2025-03-14,2025-03,4,0,0
728,akamera,11,2025-03-14,2025-03,0,11,0
729,ngogce,219,2025-03-14,2025-03,119,98,2
730,vgemici,3,2025-03-14,2025-03,3,0,0
